question;response;
Какая квалификация присваивается выпускникам техникума по специальности 09.02.01 Компьютерные системы и комплексы;Выпускникам специальности 09.02.01 "Компьютерные ситемы и комплексы" присваивается квалификация "Техник по компьютерным системам";
Какая квалификация присваивается выпускникам техникума по специальности 09.02.06 Сетевое и системное адмирнистрирование;Выпускникам специальности 09.02.06 "Сетевое и системное администрирование" присваивается квалификация "Сетевой и системный администратор";
Какая квалификация присваивается выпускникам  специальности 09.02.08 WEB разработка;Выпускникам специальности 09.02.08 присваивается квалификация "Разработчик веб-приложений";
Какая квалификация присваивается выпускникам специальности 10.02.05 Обеспечение инфофрмационной безопасности автоматизированных систем;Выпускникам специальности 10.02.05 присваивается квалификация "Техник по защите информации";
Какая квалификация присваивается выпускникам специальности 25.02.08 Эксплуатация беспилотных авиационных систем;Выпускникам специальности 25.02.08 присваивается квалификация "Оператор беспилотных летательных аппаратов";
Какая квалификация присваивается  выпускникам специальности 40.02.04 Юриспруденция;Выпускникам специальности 40.02.04 присваивается квалификация "Юрист";
Какая квалификация присваивается выпускникам специальности 09.02.07 Информационны системы и программитрование;Выпускникам специальности 09.02.07 присваивается квалификация в зависимости  от выбранного направления : 1. Администратор баз данных 2. Специалист по информационным системам 3. Разработчик WEB  и мультимедийных приложений 4. Программист 5. Специалист по тестированию в области информационных технологий;
Как осуществляется оплата обучения- сразу за учебный год?;Оплата обучения осуществляется по семестрам;
Когда начало приема документов  в техникум;Прием докуменнтов для поступления проходит с 20 июня по 15 августа;
Когда начало учебного годая у студентов;Начало учебного года у студентов всех курсов 1 сентября;
По какому адресу учатся студенты?;Студенты первокусники всех специальностей обучаются по адресу ул. Нежинская д.7. Начиная со 2 курса студенты учатся по двум адресам:ул.Нежинская д. 7 и Нахимовской проспект д.21 в зависимости от расписания;
Можно ли оплачивать обучение из средств материнского капитала?;Оплата обучения материнским капиталом возможна в соответствии с законом о материнском капитале;
Выплачивается ли студентам-бюджетникам стипендия;С 1 сентября по 31 декабря государственная академическая стипендия назначается всем студентам первого курса, обучающимся за счётбюджетных средств. В последующем академическая стипендия назначаются студентам, окончившим семестр только на «хорошо» и «отлично»;
Можно ли прислать документы в приёмную комиссию в электронноом виде?;Поступающие вправе направить в колледж заявление о приеме и необходимые документы одним из способов: лично в приемную комиссию посредством электронной информационной системы "Личный кабинет абитуриента" через операторов почтовой связи общего пользования заказным письмом с уведомлением о вречении;
Начало приема документов;Прием докуменнтов для поступления проходит с 20 июня по 15 августа;
Какая квалификация присваивается выпускникам техникума по специальности 09.02.01;Выпускникам специальности 09.02.01 "Компьютерные ситемы и комплексы" присваивается квалификация "Техник по компьютерным системам";
Квалификация 09.02.01;Выпускникам специальности 09.02.01 "Компьютерные ситемы и комплексы" присваивается квалификация "Техник по компьютерным системам";
Квалификация 09.02.06;Выпускникам специальности 09.02.06 "Сетевое и системное администрирование" присваивается квалификация "Сетевой и системный администратор";
Квалификация 09.02.08;Выпускникам специальности 09.02.08 присваивается квалификация "Разработчик веб-приложений";
Квалификация 10.02.05;Выпускникам специальности 10.02.05 присваивается квалификация "Техник по защите информации";
Квалификация 25.02.08;Выпускникам специальности 25.02.08 присваивается квалификация "Оператор беспилотных летательных аппаратов";
Квалификация 40.02.04;Выпускникам специальности 40.02.04 присваивается квалификация "Юрист";
Квалификация 09.02.07;Выпускникам специальности 09.02.07 присваивается квалификация в зависимости  от выбранного направления : 1. Администратор баз данных 2. Специалист по информационным системам 3. Разработчик WEB  и мультимедийных приложений 4. Программист 5. Специалист по тестированию в области информационных технологий;
Оплата обучения за год;Оплата обучения осуществляется по семестрам;
Начало приема документов;Прием докуменнтов для поступления проходит с 20 июня по 15 августа;
Начало учебного года;Начало учебного года у студентов всех курсов 1 сентября;
